DATE,T30YIEM
2010-02-01,2.46
2010-03-01,2.49
2010-04-01,2.64
2010-05-01,2.46
2010-06-01,2.36
2010-07-01,2.12
2010-08-01,2.04
2010-09-01,2.11
2010-10-01,2.43
2010-11-01,2.58
2010-12-01,2.53
2011-01-01,2.55
2011-02-01,2.52
2011-03-01,2.62
2011-04-01,2.71
2011-05-01,2.52
2011-06-01,2.45
2011-07-01,2.65
2011-08-01,2.55
2011-09-01,2.16
2011-10-01,2.14
2011-11-01,2.24
2011-12-01,2.20
2012-01-01,2.29
2012-02-01,2.39
2012-03-01,2.41
2012-04-01,2.39
2012-05-01,2.25
2012-06-01,2.20
2012-07-01,2.20
2012-08-01,2.30
2012-09-01,2.44
2012-10-01,2.49
2012-11-01,2.45
2012-12-01,2.55
2013-01-01,2.60
2013-02-01,2.60
2013-03-01,2.54
2013-04-01,2.45
2013-05-01,2.39
2013-06-01,2.19
2013-07-01,2.27
2013-08-01,2.32
2013-09-01,2.29
2013-10-01,2.31
2013-11-01,2.29
2013-12-01,2.28
2014-01-01,2.33
2014-02-01,2.26
2014-03-01,2.29
2014-04-01,2.29
2014-05-01,2.31
2014-06-01,2.31
2014-07-01,2.35
2014-08-01,2.30
2014-09-01,2.21
2014-10-01,2.08
2014-11-01,2.05
2014-12-01,1.94
2015-01-01,1.80
2015-02-01,1.84
2015-03-01,1.90
2015-04-01,1.94
2015-05-01,2.00
2015-06-01,1.98
2015-07-01,1.96
2015-08-01,1.78
2015-09-01,1.71
2015-10-01,1.67
2015-11-01,1.78
2015-12-01,1.71
2016-01-01,1.60
2016-02-01,1.53
2016-03-01,1.69
2016-04-01,1.76
2016-05-01,1.77
2016-06-01,1.63
2016-07-01,1.62
2016-08-01,1.64
2016-09-01,1.71
2016-10-01,1.81
2016-11-01,2.00
2016-12-01,2.07
2017-01-01,2.10
2017-02-01,2.10
2017-03-01,2.09
2017-04-01,2.03
2017-05-01,1.97
2017-06-01,1.87
2017-07-01,1.87
2017-08-01,1.87
2017-09-01,1.91
2017-10-01,1.94
2017-11-01,1.93
2017-12-01,1.97
2018-01-01,2.08
2018-02-01,2.14
2018-03-01,2.1
2018-04-01,2.14
2018-05-01,2.15
2018-06-01,2.12
2018-07-01,2.13
2018-08-01,2.12
2018-09-01,2.15
2018-10-01,2.13
2018-11-01,2.06
2018-12-01,1.91
2019-01-01,1.85
2019-02-01,1.92
2019-03-01,1.96
2019-04-01,1.97
2019-05-01,1.9
2019-06-01,1.78
2019-07-01,1.8
2019-08-01,1.63
2019-09-01,1.65
2019-10-01,1.64
2019-11-01,1.74
2019-12-01,1.78
2020-01-01,1.79
2020-02-01,1.68
2020-03-01,1.29
2020-04-01,1.39
2020-05-01,1.46
2020-06-01,1.55
2020-07-01,1.6
2020-08-01,1.71
2020-09-01,1.76
2020-10-01,1.86
2020-11-01,1.88
2020-12-01,2.0
2021-01-01,2.1
2021-02-01,2.14
2021-03-01,2.23
2021-04-01,2.25
2021-05-01,2.33
2021-06-01,2.29
2021-07-01,2.23
2021-08-01,2.23
2021-09-01,2.24
2021-10-01,2.35
2021-11-01,2.38
2021-12-01,2.27
2022-01-01,2.24
2022-02-01,2.18
2022-03-01,2.49
2022-04-01,2.55
2022-05-01,2.47
2022-06-01,2.47
2022-07-01,2.22
2022-08-01,2.29
2022-09-01,2.27
2022-10-01,2.33
2022-11-01,2.4
2022-12-01,2.26
2023-01-01,2.24
2023-02-01,2.29
2023-03-01,2.26
2023-04-01,2.23
