DATE,GDPC1
1970-04-01,8.50649
1970-07-01,8.51566
1970-10-01,8.50489
1971-01-01,8.53169
1971-04-01,8.53708
1971-07-01,8.54528
1971-10-01,8.54763
1972-01-01,8.56586
1972-04-01,8.58830
1972-07-01,8.59770
1972-10-01,8.61431
1973-01-01,8.63875
1973-04-01,8.64958
1973-07-01,8.64431
1973-10-01,8.65376
1974-01-01,8.64512
1974-04-01,8.64749
1974-07-01,8.63800
1974-10-01,8.63411
1975-01-01,8.62186
1975-04-01,8.62898
1975-07-01,8.64595
1975-10-01,8.65933
1976-01-01,8.68157
1976-04-01,8.68888
1976-07-01,8.69435
1976-10-01,8.70157
1977-01-01,8.71332
1977-04-01,8.73257
1977-07-01,8.75045
1977-10-01,8.75048
1978-01-01,8.75366
1978-04-01,8.79158
1978-07-01,8.80158
1978-10-01,8.81493
1979-01-01,8.81673
1979-04-01,8.81780
