DATE,Brent,WTI,NYMEX
1/2/2018,66.57,60.37,60.37
1/3/2018,67.84,61.63,61.93
1/4/2018,68.07,62.01,61.89
1/5/2018,67.62,61.44,61.59
1/8/2018,67.78,61.73,61.9
1/9/2018,68.82,62.96,63.48
1/10/2018,69.2,63.57,63.5
1/11/2018,69.26,63.8,63.55
1/12/2018,69.87,64.3,64.4
1/15/2018,70.26,64.82,0
1/16/2018,69.15,63.73,63.88
1/17/2018,69.38,63.97,64.09
1/18/2018,69.31,63.95,63.72
1/19/2018,68.61,63.37,63.57
1/22/2018,69.03,63.49,63.66
1/23/2018,69.96,64.47,64.47
1/24/2018,70.53,65.61,65.88
1/25/2018,70.42,65.51,65.24
1/26/2018,70.52,66.14,66.24
1/29/2018,69.46,65.56,65.52
1/30/2018,69.02,64.5,63.99
1/31/2018,69.05,64.73,64.77
2/1/2018,69.65,65.8,65.98
2/2/2018,68.58,65.45,65.06
2/5/2018,67.62,64.15,63.43
2/6/2018,66.86,63.39,63.92
2/7/2018,65.51,61.79,61.73
2/8/2018,64.81,61.15,60.42
2/9/2018,62.79,59.2,59.05
2/12/2018,62.59,59.29,59.38
2/13/2018,62.72,59.19,58.95
2/14/2018,64.36,60.6,60.74
2/15/2018,64.33,61.34,61.42
2/16/2018,64.84,61.68,61.61
2/19/2018,65.67,62.39,0
2/20/2018,65.25,61.79,61.77
2/21/2018,65.42,61.68,61.34
2/22/2018,66.39,62.77,62.65
2/23/2018,67.31,63.55,63.57
2/26/2018,67.5,63.91,64
2/27/2018,66.63,63.01,62.84
2/28/2018,65.78,61.64,61.55
3/1/2018,63.83,60.99,61.34
3/2/2018,64.37,61.25,61.45
3/5/2018,65.54,62.57,62.61
3/6/2018,65.79,62.6,62.36
3/7/2018,64.34,61.15,61.35
3/8/2018,63.61,60.12,60.32
3/9/2018,65.49,62.04,62.12
3/12/2018,64.95,61.36,61.38
3/13/2018,64.64,60.71,60.85
3/14/2018,64.89,60.96,60.93
3/15/2018,65.12,61.19,61.19
3/16/2018,66.21,62.34,62.25
3/19/2018,66.05,62.06,62.16
3/20/2018,67.42,63.4,63.42
3/21/2018,69.47,65.17,65.49
3/22/2018,68.91,64.3,64.21
3/23/2018,70.45,65.88,65.74
3/26/2018,70.12,65.55,65.49
3/27/2018,70.11,65.25,64.67
3/28/2018,69.53,64.38,64.67
3/29/2018,70.27,64.94,64.91
4/2/2018,67.64,63.01,62.85
4/3/2018,68.12,63.51,63.57
4/4/2018,68.02,63.37,63.56
4/5/2018,68.33,63.54,63.73
4/6/2018,67.11,62.06,61.93
4/9/2018,68.65,63.42,63.29
4/10/2018,71.04,65.51,65.58
