DATE,Brent,WTI,NYMEX
2018/1/2,66.57,60.37,60.37
2018/1/3,67.84,61.63,61.93
2018/1/4,68.07,62.01,61.89
2018/1/5,67.62,61.44,61.59
2018/1/8,67.78,61.73,61.9
2018/1/9,68.82,62.96,63.48
2018/1/10,69.2,63.57,63.5
2018/1/11,69.26,63.8,63.55
2018/1/12,69.87,64.3,64.4
2018/1/16,69.15,63.73,63.88
2018/1/17,69.38,63.97,64.09
2018/1/18,69.31,63.95,63.72
2018/1/19,68.61,63.37,63.57
2018/1/22,69.03,63.49,63.66
2018/1/23,69.96,64.47,64.47
2018/1/24,70.53,65.61,65.88
2018/1/25,70.42,65.51,65.24
2018/1/26,70.52,66.14,66.24
2018/1/29,69.46,65.56,65.52
2018/1/30,69.02,64.5,63.99
2018/1/31,69.05,64.73,64.77
2018/2/1,69.65,65.8,65.98
2018/2/2,68.58,65.45,65.06
2018/2/5,67.62,64.15,63.43
2018/2/6,66.86,63.39,63.92
2018/2/7,65.51,61.79,61.73
2018/2/8,64.81,61.15,60.42
2018/2/9,62.79,59.2,59.05
2018/2/12,62.59,59.29,59.38
2018/2/13,62.72,59.19,58.95
2018/2/14,64.36,60.6,60.74
2018/2/15,64.33,61.34,61.42
2018/2/16,64.84,61.68,61.61
2018/2/20,65.25,61.79,61.77
2018/2/21,65.42,61.68,61.34
2018/2/22,66.39,62.77,62.65
2018/2/23,67.31,63.55,63.57
2018/2/26,67.5,63.91,64
2018/2/27,66.63,63.01,62.84
2018/2/28,65.78,61.64,61.55
2018/3/1,63.83,60.99,61.34
2018/3/2,64.37,61.25,61.45
2018/3/5,65.54,62.57,62.61
2018/3/6,65.79,62.6,62.36
2018/3/7,64.34,61.15,61.35
2018/3/8,63.61,60.12,60.32
2018/3/9,65.49,62.04,62.12
2018/3/12,64.95,61.36,61.38
2018/3/13,64.64,60.71,60.85
2018/3/14,64.89,60.96,60.93
2018/3/15,65.12,61.19,61.19
2018/3/16,66.21,62.34,62.25
2018/3/19,66.05,62.06,62.16
2018/3/20,67.42,63.4,63.42
2018/3/21,69.47,65.17,65.49
2018/3/22,68.91,64.3,64.21
2018/3/23,70.45,65.88,65.74
2018/3/26,70.12,65.55,65.49
2018/3/27,70.11,65.25,64.67
2018/3/28,69.53,64.38,64.67
2018/3/29,70.27,64.94,64.91
2018/4/2,67.64,63.01,62.85
2018/4/3,68.12,63.51,63.57
2018/4/4,68.02,63.37,63.56
2018/4/5,68.33,63.54,63.73
2018/4/6,67.11,62.06,61.93
2018/4/9,68.65,63.42,63.29
2018/4/10,71.04,65.51,65.58
2018/4/11,72.06,66.82,66.74
2018/4/12,72.02,67.07,67.16
2018/4/13,72.58,67.39,67.39
2018/4/16,71.42,66.22,66.34
2018/4/17,71.58,66.52,66.67
2018/4/18,73.48,68.47,68.75
2018/4/19,73.78,68.29,68.15
2018/4/20,74.06,68.4,68.26
2018/4/23,74.71,68.64,68.92
2018/4/24,73.86,67.7,67.72
2018/4/25,74,68.05,68.01
2018/4/26,74.74,68.19,68.16
